BOROUGH,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,TOTAL UNITS,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE
1,392,6,10009,5,5,6440,1900,Low,C2,6625000
1,402,21,10009,10,10,6794,1913,Low,C4,3936272
1,404,55,10009,6,6,4615,1900,Low,C2,8000000
1,406,32,10009,8,8,4226,1920,Low,C4,3192840
1,387,153,10009,24,24,18523,1920,Low,D9,16232000
1,400,21,10009,10,10,12350,2009,Low,D1,10350000
1,376,14,10009,24,24,16776,1928,Low,C6,11900000
1,385,1102,10009,47,47,36472,2005,Low,RR,28000000
1,391,19,10009,3,4,3360,1910,Low,S3,3300000
1,393,4,10009,4,5,5608,1900,Low,S4,7215000
1,394,5,10009,5,6,3713,1910,Low,S5,4750000
1,390,34,10009,0,1,3586,1899,High,K4,3700000
1,771,52,10011,1,1,3855,1901,Low,A9,7425000
1,772,29,10011,1,1,5653,1900,Low,A4,10
1,772,29,10011,1,1,5653,1900,Low,A4,10
1,772,29,10011,1,1,5653,1900,Low,A4,10
1,769,49,10011,2,3,4978,1920,Low,S2,7750000
1,719,67,10011,3,3,3725,1901,Low,C0,8300000
1,696,37,10001,6,7,3762,1901,Low,C4,16000000
1,722,6,10011,4,4,2890,1910,Low,C3,5950000
1,743,56,10011,24,24,4500,1900,Low,C5,7375000
1,745,63,10011,4,4,3042,1900,Low,C3,8000000
1,764,68,10011,22,24,13056,1901,Low,C4,14100000
1,765,25,10011,9,9,6330,1901,Low,C4,1583840
1,765,25,10011,9,9,6330,1901,Low,C4,416790
1,765,25,10011,9,9,6330,1901,Low,C4,630370
1,770,53,10011,9,9,8540,1920,Low,C1,29400000
1,790,8,10011,8,9,7650,1920,Low,C7,6450000
1,790,9,10011,15,16,6335,1901,Low,C7,5500000
1,790,10,10011,8,9,5955,1920,Low,C7,5750000
1,790,63,10011,8,8,4100,1910,Low,C1,3485000
1,695,6,10011,6,7,19892,2014,Low,D6,4600000
1,794,11,10011,30,32,78882,2014,Low,D7,2341975
1,744,32,10011,24,24,12200,1850,Low,C6,282000
1,716,1,10011,4,5,5225,1910,Low,S4,10581818
1,722,75,10001,3,4,3339,1910,Low,S3,10
1,769,69,10011,4,6,4447,1910,Low,S9,8250000
1,692,63,10011,0,3,4080,1900,High,O2,17300000
1,790,32,10011,1,1,14056,1953,High,O1,42400000
1,801,24,10001,0,13,113062,1906,High,O3,150000000
1,801,58,10001,0,5,10250,1930,High,O5,10150000
1,696,28,10011,0,1,7900,2013,High,K1,10750000
1,716,2,10011,0,1,3909,1910,High,K4,8818181
1,717,5,10011,0,1,3800,1910,High,K1,20000000
1,773,1,10011,0,4,39500,1932,High,K2,107250000
1,790,36,10011,2,4,4271,1920,High,K4,10600000
1,795,19,10011,1,6,11250,1910,High,L8,10500000
1,799,63,10011,0,3,3980,1920,High,L8,9174156
1,801,19,10001,0,19,45449,1921,High,L1,33000000
1,801,71,10001,0,1,122236,2010,High,H1,139725000
1,753,33,10001,0,1,5260,1900,High,H8,4300000
1,772,64,10011,0,10,170750,1900,High,H3,92007576
1,799,25,10011,0,1,21183,1920,High,M1,50350000
1,764,11,10011,35,35,5802,1920,High,N2,7995000
1,164,28,10013,11,14,7946,1915,Low,C7,8275000
1,277,2,10002,28,30,21274,1918,Low,C7,4250000
1,199,1,10013,6,7,9835,1890,Low,S5,10
1,195,9,10013,0,2,21582,1920,High,O2,19000000
1,203,20,10013,0,14,14250,1915,High,O5,9375000
1,162,47,10013,1,4,1784,1920,High,K4,3000000
1,162,57,10013,2,4,3274,1920,High,K4,4350000
1,163,16,10013,0,2,2712,1915,High,K4,2700000
1,237,21,10013,0,1,8550,1910,High,K4,6780000
1,281,44,10002,0,8,20968,1900,High,L8,15500000
1,175,19,10013,7,8,12000,1915,Low,C7,141500000
1,124,10,10007,6,7,21840,1915,Low,D7,15000000
1,173,17,10013,18,19,24423,1920,Low,D7,21250000
1,135,21,10007,5,6,8885,1915,Low,S5,10725000
1,173,2,10013,0,5,20700,1920,High,O5,17850000
1,173,2,10013,0,5,20700,1920,High,O5,3150000
1,178,6,10013,0,6,11000,1915,High,L9,11500000
1,1054,128,10036,8,8,4000,1920,Low,C4,10
1,1058,9,10036,10,10,8175,1901,Low,C4,3100000
1,1058,10,10036,12,12,8175,1901,Low,C1,12400000
1,1060,158,10019,5,5,4120,1920,Low,C2,7000000
1,1064,4,10019,16,18,12330,1910,Low,C7,11500000
1,1067,55,10019,12,12,9625,1910,Low,C4,11435000
1,1099,30,10019,11,12,10035,1901,Low,C7,10
1,1099,31,10019,12,13,10035,1901,Low,C7,10
1,1055,27,10036,7,7,10119,2016,Low,D1,15093194
1,1094,11,10036,0,1,2875,1940,High,GW,21500000
1,1095,24,10036,0,2,15062,1940,High,G2,18500000
1,1053,59,10036,0,2,8848,1910,High,M4,8010000
1,1061,45,10019,0,2,336,1998,High,Z9,4700000
1,436,1,10009,2,3,3360,1900,Low,S2,3000000
1,458,47,10003,2,3,5920,1899,Low,S2,6800000
1,467,53,10003,2,2,2640,1899,Low,B9,4000000
1,434,21,10009,28,30,20225,1900,Low,C7,13835000
1,434,43,10009,20,20,9187,1920,Low,C1,5292000
1,442,11,10003,21,21,7495,1920,Low,C5,5381394
1,447,42,10003,24,24,7000,1900,Low,C1,6354000
1,447,43,10003,24,24,7000,1900,Low,C1,6354000
1,448,19,10003,24,24,10092,1910,Low,C1,10
1,449,18,10003,19,20,10905,1900,Low,C7,12326000
1,452,47,10003,24,26,10470,1900,Low,C7,10025000
1,463,27,10003,11,12,7692,1900,Low,C7,8300000
1,436,44,10009,48,48,25610,1920,Low,D3,30449204
1,466,1103,10003,55,55,51644,1986,Low,RR,57000000
1,435,1,10009,4,6,5080,1900,Low,S9,5825000
1,449,3,10003,2,4,14131,1920,High,K4,9100000
1,457,32,10003,2,3,5794,1900,High,K4,4550000
1,778,28,10001,22,24,11538,1920,Low,C4,11000000
1,830,78,10001,4,7,4988,1915,Low,S9,12750000
1,784,64,10001,0,35,145372,1924,High,O6,108000000
1,833,11,10001,0,55,645977,1969,High,O4,565000000
1,838,12,10018,0,17,64300,1911,High,O6,54000000
1,762,61,10018,0,12,55473,1926,High,L1,1161500
1,785,75,10018,0,12,81375,1907,High,L3,5000000
1,805,39,10001,0,15,79465,1913,High,L1,220000
1,760,18,10018,0,1,81000,2007,High,H2,105592700
1,763,28,10018,0,1,177000,2010,High,H2,128177800
1,806,76,10001,529,538,473391,1929,High,H1,212500000
1,837,6,10001,0,1,122859,2008,High,H2,139657500
1,833,49,10001,0,9,80185,1913,High,H3,51000000
1,778,27,10001,0,2,4554,1930,High,E1,16540319
1,27,9,10005,476,482,400531,1929,Low,D5,239114603
1,27,17,10005,317,323,303175,1921,Low,D5,182391612
1,7,1002,10004,42,42,32843,0,Low,R9,26750000
1,29,1,10004,0,1,993569,1983,High,O4,652000000
1,38,17,10005,0,23,566858,1973,High,O4,3288000
1,40,3,10005,0,1,1617206,1987,High,O4,1040000000
1,42,31,10038,0,52,527605,1912,High,O4,54052917
1,76,7,10038,0,5,21520,1948,High,O5,12500000
1,10,33,10004,0,1,143730,2007,High,H2,100107200
1,52,8,10006,0,318,130054,2014,High,H2,203345000
1,40,16,10005,0,2,119467,1902,High,H3,93550000
1,78,20,10038,0,3,74863,1900,High,H8,51100000
1,844,8,10003,15,16,30680,1900,Low,D6,489854
1,844,8,10003,15,16,30680,1900,Low,D6,576299
1,822,69,10010,4,5,5118,1910,Low,S4,6625000
1,829,16,10001,0,15,106800,1910,High,O6,126000000
1,851,54,10010,0,9,22512,1912,High,O6,26500000
1,856,9,10010,0,35,217991,1913,High,O4,1159531
1,827,40,10010,0,1,9798,1913,High,K2,29500000
1,829,55,10001,0,3,4432,1950,High,K4,13500000
1,829,72,10001,0,4,3780,1915,High,L9,4650000
1,873,31,10003,2,3,6720,1920,Low,S2,5300000
1,882,14,10010,2,2,3080,1910,Low,B3,3700000
1,899,38,10003,2,2,3880,1901,Low,B9,7350000
1,900,55,10003,2,2,2520,1910,Low,B1,7000000
1,898,24,10003,3,3,6496,1925,Low,C0,13500000
1,876,13,10003,6,6,7800,1900,Low,C5,23094093
1,883,66,10016,11,12,8888,2000,Low,C7,10
1,896,20,10003,9,10,8689,1910,Low,C7,10
1,898,7,10003,4,5,6932,1920,Low,C9,8700000
1,907,46,10016,20,20,9625,1920,Low,C4,13100000
1,908,35,10016,28,31,17569,1920,Low,C7,19000000
1,882,39,10010,14,15,15800,1905,Low,D7,11800000
1,873,36,10003,3,4,6808,1920,Low,S3,7700000
1,879,25,10010,0,2,7012,1910,High,O5,15000000
1,880,4,10010,0,6,37025,1914,High,L1,52400621
1,525,34,10012,1,2,5807,1900,Low,S1,9999999
1,526,51,10012,1,1,3556,1899,Low,A4,12500000
1,526,66,10012,1,1,3960,1899,Low,A4,14000000
1,552,50,10011,1,1,7000,1900,Low,A4,20650000
1,568,10,10003,1,1,6202,1900,Low,A4,21000000
1,574,27,10011,1,2,4488,1899,Low,S1,11800000
1,575,124,10011,1,1,3200,1901,Low,A5,9500000
1,542,46,10012,2,3,3902,1901,Low,S2,5250000
1,573,18,10011,2,3,3864,1899,Low,S2,10500000
1,567,18,10003,3,3,4321,1901,Low,C0,10182500
1,521,13,10012,42,42,15925,1880,Low,C5,22112000
1,540,35,10012,22,22,11046,1900,Low,C4,10
1,556,15,10003,107,107,61612,1900,Low,C4,72200000
1,572,15,10011,5,5,4060,1900,Low,C2,10250000
1,575,75,10011,19,19,8628,1900,Low,C5,8500000
1,572,49,10011,31,36,30858,1920,Low,D7,25001000
1,574,15,10011,36,36,27184,1912,Low,D3,37750000
1,526,61,10012,4,5,5040,1900,Low,S4,9167000
1,563,31,10003,0,15,114000,1900,High,O6,109000000
1,577,19,10011,0,6,151541,1930,High,O5,153000000
1,555,12,10003,5,7,13230,1910,High,K4,3781000
1,556,21,10003,0,2,5003,1901,High,K4,9300000
1,556,65,10003,0,1,54328,1900,High,J8,32250000
1,584,31,10014,1,1,2400,1901,Low,A4,7800000
1,585,69,10014,1,1,1152,1901,Low,A5,1375000
1,585,69,10014,1,1,1152,1901,Low,A5,1375000
1,606,28,10011,1,2,2337,1910,Low,S1,4065000
1,615,21,10014,1,1,4073,1910,Low,A4,19000000
1,622,32,10014,1,2,3040,1899,Low,S1,11139450
1,625,39,10014,1,2,1854,1900,Low,S1,5550000
1,527,92,10014,2,3,3480,1900,Low,S2,6800000
1,604,7,10014,2,3,4200,1920,Low,S2,9750000
1,607,44,10011,2,3,2680,1910,Low,S2,5570000
1,611,74,10014,2,2,4538,1920,Low,B2,9600000
1,618,52,10011,2,2,6925,1899,Low,B1,14000000
1,619,19,10014,2,2,2684,1899,Low,B9,3950000
1,621,74,10014,2,2,3600,1905,Low,B3,15000000
1,622,19,10014,2,3,2334,1901,Low,S2,8900000
1,623,36,10014,2,2,2160,1899,Low,B1,7000000
1,635,24,10014,2,2,3700,1899,Low,B3,7400000
1,612,14,10014,3,3,3760,1899,Low,C0,11300000
1,623,49,10014,3,3,5750,1910,Low,C0,27400000
1,588,32,10014,5,5,3524,1900,Low,C2,313000
1,609,163,10011,4,4,2395,1915,Low,C3,6500000
1,611,72,10014,24,25,16800,1900,Low,C7,18000000
1,612,68,10014,10,10,4884,1910,Low,C1,7500000
1,614,9,10014,11,11,7145,1900,Low,C4,6260000
1,615,64,10014,34,34,13341,1910,Low,C4,15700000
1,615,89,10014,10,10,6925,1900,Low,C4,10
1,619,16,10014,33,37,20073,1905,Low,C7,21000000
1,621,76,10014,7,7,4040,1910,Low,C5,9000000
1,622,59,10014,24,24,19888,1905,Low,C1,18000000
1,623,53,10014,36,36,22686,1910,Low,C1,20000000
1,624,19,10014,11,11,9550,1930,Low,C4,12750000
1,624,60,10014,35,36,25614,1910,Low,C7,31000000
1,631,18,10014,10,10,6155,1910,Low,C1,10
1,592,40,10014,74,76,47808,1929,Low,D6,12576515
1,612,51,10014,21,27,17826,1940,Low,D7,24991000
1,610,21,10014,5,6,5985,1900,Low,S5,14000000
1,603,28,10014,0,11,154328,1911,High,O3,205961801
1,589,39,10014,0,1,5400,1967,High,K2,10200000
1,589,40,10014,0,2,4550,1920,High,K4,6800000
1,611,69,10014,2,3,4224,1880,High,K4,6856750
1,601,72,10014,0,1,29967,1920,High,F5,29163200
1,1942,58,10030,1,1,3036,1910,Low,A4,2300000
1,1960,41,10030,1,1,3200,1910,Low,A9,1510000
1,2024,50,10030,1,1,3620,1910,Low,A5,3050000
1,2041,126,10030,1,1,3536,1901,Low,A9,1595790
1,2042,28,10030,1,1,3951,1899,Low,A9,2200000
1,2042,29,10030,1,1,3591,1899,Low,A9,2100000
1,2050,19,10031,1,1,3371,1899,Low,A4,3200000
1,2050,74,10031,1,1,4122,1899,Low,A4,3535000
1,2051,62,10030,1,1,3360,1899,Low,A4,1000000
1,1720,62,10027,2,2,5138,1899,Low,B9,1386200
1,1727,45,10037,2,2,3000,1909,Low,B9,3750000
1,1754,59,10037,2,2,3416,1900,Low,B3,2450000
1,1754,116,10035,2,2,3240,1899,Low,B1,1550000
1,1902,40,10026,2,2,3328,1998,Low,B1,2800000
1,1903,155,10026,2,2,5004,1900,Low,B2,3500000
1,1915,34,10037,2,3,4002,1910,Low,S2,3650000
1,1937,52,10027,2,2,3600,1899,Low,B1,1670000
1,1937,52,10027,2,2,3600,1899,Low,B1,1310000
1,1937,123,10027,2,2,3460,1914,Low,B3,2175000
1,1941,59,10030,2,2,2625,1910,Low,B3,850000
1,1942,16,10030,2,2,3200,1899,Low,B1,2000000
1,1949,7,10027,2,2,3840,1899,Low,B3,500000
1,1950,7,10027,2,2,2340,1899,Low,B3,2460000
1,2024,62,10030,2,2,4000,1910,Low,B2,2950000
1,2041,28,10030,2,2,3400,1901,Low,B9,1550000
1,2042,124,10030,2,2,3000,1899,Low,B1,1625000
1,2050,101,10031,2,2,4320,1901,Low,B1,3450000
1,2050,103,10031,2,2,3400,1899,Low,B9,2000000
1,2053,65,10031,2,2,8100,1910,Low,B9,4300000
1,1717,67,10026,3,3,3328,1909,Low,C0,1730000
1,1723,56,10027,3,3,3054,1910,Low,C0,2685000
1,1751,147,10035,3,3,3046,1909,Low,C0,2505000
1,1754,14,10035,3,3,2852,1900,Low,C0,1980000
1,1828,122,10026,3,3,3600,1910,Low,C0,3250000
